comparison,p_value,p_holm,significant_5pct,cliffs_delta,effect_magnitude,ci95_low_s,ci95_high_s
A vs B,0.000699,0.001398,True,0.8818,grande,5.00,22.00
A vs C,0.000909,0.001398,True,0.8636,grande,4.00,21.00
